input,output
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52, 2.18]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52, 2.18, -0.81]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52, 2.18, -0.81, -0.49]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52, 2.18, -0.81, -0.49, -1.72]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52, 2.18, -0.81, -0.49, -1.72, 1.27]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52, 2.18, -0.81, -0.49, -1.72, 1.27, 0.78]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52, 2.18, -0.81, -0.49, -1.72, 1.27, 0.78, 0.53]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52, 2.18, -0.81, -0.49, -1.72, 1.27, 0.78, 0.53, -2.06]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52, 2.18, -0.81, -0.49, -1.72, 1.27, 0.78, 0.53, -2.06, 0.96]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52, 2.18, -0.81, -0.49, -1.72, 1.27, 0.78, 0.53, -2.06, 0.96, -0.2]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52, 2.18, -0.81, -0.49, -1.72, 1.27, 0.78, 0.53, -2.06, 0.96, -0.2, -0.43]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52, 2.18, -0.81, -0.49, -1.72, 1.27, 0.78, 0.53, -2.06, 0.96, -0.2, -0.43, -1.57]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.4, -0.81, 0.0, 0.45, 0.05, 0.36, 0.22, -0.3, -1.08, 1.09, -0.59, -0.65, -1.53, -0.98, -0.29, -0.4, -0.56, -0.77, 0.25, -1.51, 1.12, -0.33, -1.13, 0.97, 1.57, -1.37, 0.11, 1.52, 2.18, -0.81, -0.49, -1.72, 1.27, 0.78, 0.53, -2.06, 0.96, -0.2, -0.43, -1.57, 0.36]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
[-1.03],False
"[-1.03, 1.16]","[False, False]"
"[-1.03, 1.16, 0.15]","[False, False, False]"
"[-1.03, 1.16, 0.15, 1.55]","[False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12]","[False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18]","[False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04]","[False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6]","[False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44]","[False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27]","[False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94]","[False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2]","[False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28]","[False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14, -0.07]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14, -0.07, -1.15]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14, -0.07, -1.15, -1.25]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14, -0.07, -1.15, -1.25, 0.17]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14, -0.07, -1.15, -1.25, 0.17, 1.66]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14, -0.07, -1.15, -1.25, 0.17, 1.66, -1.56]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14, -0.07, -1.15, -1.25, 0.17, 1.66, -1.56, 0.24]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14, -0.07, -1.15, -1.25, 0.17, 1.66, -1.56, 0.24, 0.72]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14, -0.07, -1.15, -1.25, 0.17, 1.66, -1.56, 0.24, 0.72, 0.04]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14, -0.07, -1.15, -1.25, 0.17, 1.66, -1.56, 0.24, 0.72, 0.04, -0.16]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14, -0.07, -1.15, -1.25, 0.17, 1.66, -1.56, 0.24, 0.72, 0.04, -0.16, 0.6]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14, -0.07, -1.15, -1.25, 0.17, 1.66, -1.56, 0.24, 0.72, 0.04, -0.16, 0.6, -0.65]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.03, 1.16, 0.15, 1.55, -0.12, -3.18, 0.04, 0.6, 1.44, -0.27, -0.94, 1.2, -1.28, 1.12, 2.59, -0.19, -0.25, -0.83, -0.68, 0.5, 0.26, 1.51, 1.79, -0.9, 1.14, 0.13, -2.09, -0.14, -0.07, -1.15, -1.25, 0.17, 1.66, -1.56, 0.24, 0.72, 0.04, -0.16, 0.6, -0.65, 0.85]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
[1.08],True
"[1.08, -1.19]","[True, False]"
"[1.08, -1.19, 0.05]","[True, False, False]"
"[1.08, -1.19, 0.05, 0.24]","[True, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69]","[True, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0]","[True, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26]","[True, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6]","[True, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78]","[True, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64]","[True, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32]","[True, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0]","[True, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15]","[True, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15, 0.76]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15, 0.76, 1.75]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15, 0.76, 1.75, 1.41]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15, 0.76, 1.75, 1.41, -1.47]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15, 0.76, 1.75, 1.41, -1.47, -1.68]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15, 0.76, 1.75, 1.41, -1.47, -1.68, 0.17]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15, 0.76, 1.75, 1.41, -1.47, -1.68, 0.17, -0.16]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15, 0.76, 1.75, 1.41, -1.47, -1.68, 0.17, -0.16, 0.16]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15, 0.76, 1.75, 1.41, -1.47, -1.68, 0.17, -0.16, 0.16, -1.21]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15, 0.76, 1.75, 1.41, -1.47, -1.68, 0.17, -0.16, 0.16, -1.21, -0.14]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15, 0.76, 1.75, 1.41, -1.47, -1.68, 0.17, -0.16, 0.16, -1.21, -0.14, 0.0]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15, 0.76, 1.75, 1.41, -1.47, -1.68, 0.17, -0.16, 0.16, -1.21, -0.14, 0.0, -1.33]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[1.08, -1.19, 0.05, 0.24, -0.69, -0.0, -0.26, 1.6, -0.78, -0.64, -0.32, 1.0, 1.15, 1.15, 0.76, 1.75, 1.41, -1.47, -1.68, 0.17, -0.16, 0.16, -1.21, -0.14, 0.0, -1.33, 1.73]","[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
